name,date,content,share,retweet,like,,,,,,
 kappansky,2020年12月30日,"2020 gave us an Yearful
#Covid #pandemic",1,3,13,,,,,,
 RCNNRN,2020年12月30日,"Being a nurse invites terms such as ‘heroes’ - more so during the #covid pandemic, but do these well meant comments actually do harm to the profession? Can the ‘hero’ perception prevent nurses from being fallible in the public eye? Or is it a welcomed label? #RCNNQN",,,,,,,,,
 RunningBearShop,2020年12月30日,"Have any runners on here had #covid? Has it affected your #running? If so, what are your top tips for #recovery? 

#ukrunchat #corona #running #runuk",7,2,4,,,,,,
 bsadams25,2020年12月30日,No donuts for breakfast in Victoria tomorrow#covid,2,1,9,,,,,,
 the_poo_doctor,2020年12月30日,"What my night #medregshift looks like during this pandemic: 18 HDU patients - 1 intubated, 8-10 MET calls, 2 further HDU admissions and 2 peri-arrests #exhausted #covid #nobeds #staffshortages #nhs",1,1,11,,,,,,
 kellsley,2020年12月30日,The tier system is not working as people are travelling the country regardless! Lock the country down now for at least a month with strict measures and then we might stand half a chance of getting through this #LockdownNow #KeepSchoolsClosed #COVIDIOT #COVID19 #Covid,3,2,16,,,,,,
 HeatherLyWGRZ,2020年12月30日,"40 bars and restaurants are part of a lawsuit which aims to get #NYS to lift the ban on indoor dining. They say they’ve lost millions during the pandemic due to #COVID restrictions. A judge is set to hear the case a week from Friday. 

More details on #Daybreak 
 WGRZ",4,5,53,,,,,,
 OperaSocialist,2020年12月30日,"""I wish the government would make up its mind exactly when it will change its mind this time...""

Quote from a headteacher friend. 

#schoolsreopening #CloseTheSchools #closeschools #UTurn #ToryIncompetence #Covid #COVID19",1,8,21,,,,,,
 alistairmilne,2020年12月30日,"In b4 the police are given permission to shoot anyone outside their home with a tranquiliser rifel, filled with a vaccine dose instead of a sedative

#covid",2,1,24,,,,,,
 OnjaliRauf,2020年12月30日,"""I can't put into words what hell this is. We could understand the first wave - because none of us knew what we were dealing with. But now we ALL know & what? 500 people dying a day is a joke? We're bearing the brunt of idiots who couldn't care less."" A loved one 
 NHS
. #Covid",2,13,87,,,,,,
 steviejayuk,2020年12月30日,... Diet and lifestyle choice is the greatest vaccine for human longevity .. no #covid vaccine will save you if you don’t look after yourself ... let’s just make that clear ...,2,,10,,,,,,
 julianHjessop,2020年12月30日,"Further tightening of #covid restrictions may be the final straw for some businesses that have only just survived till now.

Nonetheless, the new #vaccines mean we should now be out of this by the spring.

On balance, then, I'm still optimistic about the UK economy 

#Lockdown3",2,5,34,,,,,,
 TVPAmyClem,2020年12月30日,"We’re seeing reports of parties being organised for #NYE


 TVP_ChiltSBucks
 officers dealing this morning. Gatherings are not allowed under #Covid rules in Tier4.

Please - stay home. Save lives. 

We will enforce where necessary. Vital we help prevent #Covid spread.

#StayHome",2,13,53,,,,,,
 coburn4ukunion,2020年12月30日,If you are asked to stay at home to protect the NHS Do it. It is your civic duty to do so. No ifs no buts #covid,7,3,6,,,,,,
 AshishSinghLIVE,2020年12月30日,3 persons in Bengaluru and 4 in Shivamogga tested positive for new variant of #Covid virus,3,15,138,,,,,,
 snehamordani,2020年12月30日,"This is coming full circle . Less than a year , 11 months exactly after the first case of #Covid in India, the vaccine approval might come in today . What a moment",3,10,60,,,,,,
 JohnOSullivan36,2020年12月30日,I think we all need to accept that there will never be going back to BC (Before #COVID ) but what i would like to see is some environmental studies done in a year where travel was massively curtailed. Dolphins in the canals of Venice; flourishing bird life in cities. Start there!,4,4,28,,,,,,
 fatherhoodcouk,2020年12月30日,Big rules update for #parents today. Will the Government close schools for Jan or not? #parenting #covid,5,,6,,,,,,
 impongo22,2020年12月30日,"Oxford Vaccine has been approved for use in the U.K.
Fantastic News for everyone
Rollout to start from the 4th of January 
#Covid",3,1,19,,,,,,
 Milan_reports,2020年12月30日,#Oxford University/AstraZeneca’s #Covid-19 #vaccine approved by the United Kingdom regulator. All eyes on India  now,2,2,25,,,,,,
 KailashChandOBE,2020年12月30日,BREAKING NEWS! #Covid-19: Oxford-AstraZeneca coronavirus vaccine approved for use in UK!,6,8,61,,,,,,
 cdathuraliya,2020年12月30日,"Many fellow #datascience experts tried to ""predict"" #COVID cases during the first wave in #lka. If #epidemiology was simple as fitting a linear model, things would've been much different.

Knowing the limits of your tool set is equally important as knowing the tools, if not more.",1,1,6,,,,,,
 RadioRaymondT,2020年12月30日,"So The Homegirl Lost Her Dad Today To #COVID 

PLEASE CONTINUE TO TAKE THIS SERIOUS...PLEASE!!!

#RIP #POPPOP ",1,1,5,,,,,,
 RanaSharara,2020年12月30日,"The #COVID daily numbers in Lebanon follow the $-LBP exchange rates: reported “official” rate is around 1500; we are working lately with a rate closer to 3900, while the true number if all underserved areas/children/foreign workers/refugees are tested is probably closer to 8000.",4,11,88,,,,,,
 MiaStJohnBoxer,2020年12月30日,The holiday’s are the worst time to try and get #sober Especially as our meetings are shut down due to #covid I’m so sorry to my fellow #addicts & #alcoholics my heart is with you as we trudge this road of “happy destiny” May God keep you until then...,1,5,35,,,,,,
 jcfphotog,2020年12月30日,"Hey 
 GavinNewsom
 my wife is a nurse and she has been taking care of #Covid patients since this #pandemic started. And today I hear that you changed the quotas for them to have more patients to take care of. Nurses need help! Hospitals don't want to hire new nurses. Help them!",2,7,44,,,,,,
 POCX100,2020年12月30日,"Is anyone keeping count of job loses due to #Brexit? 

Or will it all be put down to #COVID?",2,1,23,,,,,,
 BradLindenSoCal,2020年12月30日,"I had an argument with an old friend. I caught him in a bad mood & he just attacked me when I bemoaned that I was sick & tired of being sick & tired with #covid & my accident.
He snapped. ""You're alive. Be grateful. You'd survive anything. Not everyone is as lucky as you.""",7,4,23,,,,,,
 nataliepeluso,2020年12月30日,"Reading an outstanding paper on misinformation atm by 
 STWorg
 et al. Really relevant now with #covid  the Q cult, Brexit and esp Trump. Here are some findings in the paper that made me gasp.

Thread ",3,1,5,,,,,,
 jcarole,2020年12月30日,Im seething. I want Kirk Cameron and his band of anti-mask “Christians” to go to LA right now and start cleaning hospitals. That’s right. You don’t have to talk to Covid patients but the LEAST you could do is live your fucking faith. #healthcareworkers #Covid,2,3,49,,,,,,
 TDen2020,2020年12月30日,"15,480 Americans have died from #COVID in the past week. Trump is golfing, so don't panic. #GOPSeditiousTraitors",1,3,19,,,,,,
 NECROPOLITIX,2020年12月30日,"Thankyou 
 normanswan
 
 abcnews
 for bringing scientific realism to the politically tainted narrative on the #GladysCluster: there are likely approx 500 people infectious with #COVID in greater #Sydney right now and the #INDvAUS #Cricket test should have no spectators. #COVIDsydney",4,84,245,,,,,,
 MarkDavis,2020年12月30日,"Okay, seeing compelling arguments on both sides, so you settle it:  Early #COVID #vaccines for key officials is:",,,,,,,,,
 melb4886,2020年12月30日,"At the present mortality rate of #COVID-19, 52,000 cases a day would give us around 1500 deaths a day in a month or so.",2,1,1,,,,,,
 Tavinnea,2020年12月30日,"I just got my #Covid shot and am halfway to less susceptibility. 

The borg will arrive to assimilate me at some point in the next 21 days.

My microchip has been inserted and the Illuminati now know my exact thoughts from 9:47am MST on July 12, 1983.

Only one of these is true.",11,3,35,,,,,,
 KateMarieGraham,2020年12月30日,"Yesterday in Ontario ... 

Someone died of COVID every 35 minutes. 

Two people were diagnosed with COVID *every* minute.

!

Ontario deserves leaders who ARE for the people, especially when the people need them. 

Period. 

#onpoli #COVID",3,38,158,,,,,,
 BriannaSmith337,2020年12月30日,"Is your town shut down from 
covid? 

#Covid #COVID19",15,6,12,,,,,,
 LadyImpactOhio,2020年12月30日,".
 nbcnews
 just reported #covid checks will be mailed tomorrow. Amount hasn’t even passed yet.",3,2,2,,,,,,
 cathyacrowe,2020年12月30日,"Sharp  #COVID shelter outbreaks:  Roehampton hotel/shelter (8+ve with 1 in hospital), 
 YorktownFamily
 
 salvationarmy
 Islington Seniors', 
 evasinitiatives
 both Eva's Place and Satellite. 
 SHJNetwork
 Very worrisome.
Cumulative total 674 in Toronto. #topoli",2,18,16,,,,,,
 FrNajim,2020年12月30日,"During the first wave of #Covid, I was never called to the hospital to give the Anointing of the Sick (“Last Rites”) to a dying Covid patient. In the last month, I’ve been called at least once a week. I pray things get better soon, but I fear the next two months will be worse.",2,6,23,,,,,,
 WestWingReport,2020年12月30日,"That British strand of #COVID - rapidly growing - has now been found in Colorado (via 
 WSJ
)",2,19,34,,,,,,
 Kate_Bod,2020年12月30日,Why don’t we vaccinate the teachers and all school staff immediately? Then they can go back to school. #Covid,5,3,23,,,,,,
 AnaCabrera,2020年12月30日,NEW: Colorado identifies first known case of UK #Covid-19 variant in US,105,509,1160,,,,,,
 NickMeidanis,2020年12月30日,"#BREAKING:  Mutated #Covid strain sounding alarms in the U.K. for being even more contagious is confirmed in Colorado. 
 News12NJ",12,22,19,,,,,,
 jolenebuntinguk,2020年12月30日,"DO YOU WEAR A #COVID MASK? 

I have not and will not wear one, but I would like to know what your thoughts are on FORCED face coverings. 

PLEASE VOTE  & RT ?

#COVID1984 #NoMoreMasks",,,,,,,,,
 AlphaMind101,2020年12月30日,"#Covid going a bit crazy here in the U.K. Rates in my semi-rural town just outside London at over 1000 cases per 100,000 which is far from the worst here in the South of England. 

But a silver lining too. Both my parents had their first vaccine shots today.",3,2,47,,,,,,
 alanhuddart,2020年12月30日,"I’m getting increasingly tired of those constantly in denial about #Covid. Every news item is now accompanied by some of the most ridiculous comments. Above all, they’re disrespectful to the thousands of NHS staff who are working their arses off to save people’s lives",1,1,18,,,,,,
 worldofmarilyn1,2020年12月30日,"So, these stimulus payments would go to basically Everyone? I was more thinking it was for those Who Really Needed it.
If You are making excellent
Money and suffered no financial loss due to #covid
Why would You be eligible?
Other Countries are not throwing money in the air.",1,2,5,,,,,,
 DuggerDigs,2020年12月30日,"And 560 new hospitalizations reported today, which is a huge number but actually down from some recent Tuesdays. 7,526 new infections - well below recent averages. Hopefully, later this week we don’t see a big post-Christmas spike. #ohio #COVID19 #Covid",3,2,9,,,,,,
 CherylDaviess,2020年12月30日,"Too many loud, public voices literally killing people with their #COVID disinformation campaign. We’ve clapped for our #NHS then these monsters have metaphorically stuck two fingers up at the beleaguered health care workers to turn us into a plague island.",2,3,4,,,,,,
 calmecam,2020年12月30日,"FUN FACT: Canada secured 225,000 doses of the Pfizer vaccine in December alone, will have had 1.2M million doses of #COVID vaccine (combined) delivered by end of January, 4M doses of the Pfizer vaccine -- and 20M doses (combined) -- delivered by the end of Q1.

#CdnPoli",3,13,32,,,,,,
 CarolinaOpinion,2020年12月30日,"SOME SANITY FROM 
 HawleyMO
:

""I will not consent to a vote on the bad defense bill - which should stay vetoed - unless the Senate votes on $2,000 #COVID relief for working people."" 

FUCK YOU   senatemajldr!",1,1,6,,,,,,
 MPaiMD,2020年12月30日,"Glad to talk to 
 MrTedMichaels
 on my hometown radio stn 
 AM900CHML
 about blood clots, seeking care during the pandemic, and 
 ThrombosisCan
's important message: #COVID vaccine is SAFE in individuals on blood thinners! When it's your turn, get the shot to protect yourself & others.",1,1,20,,,,,,
 TVdonyoung,2020年12月30日,"One THOUSAND #Covid deaths in #Alberta. 500 in the last month. Army field hospital being set up on U of A campus. Big box stores jammed over Holidays. And now a mutating virus. 
 jkenney
 you’re following the #Trump plan, yes? #HerdImmunity",1,1,3,,,,,,
 ahmedhankir,2020年12月30日,"I'm a psychiatrist working in the frontline of the NHS

I also have lived experience of mental illness

I'm concerned that the mental health consequences of #COVID-19, short & long term, is not receiving the attention it demands

Can you please help get our message out there?",8,53,163,,,,,,
 ProfLAppleby,2020年12月30日,"Freedom narrative on #Covid is itself a threat to #publichealth, serially mistaken on herd immunity, death rates, suicide, Sweden. Inciting others to ignore infection controls, denigrating experts & NHS alerts, simplistically setting health & the economy against each other.",1,55,121,,,,,,
 HawleyMO,2020年12月30日,I will not consent to a vote on the bad defense bill - which should stay vetoed - unless the Senate votes on $2k #covid relief for working people,1940,4061,24000,,,,,,
 DrSelvarajah,2020年12月30日,"We have doubled our capacity in GP Out of Hours Service due to #COVID19 surge like rest of #NHS.   2 key messages :
1. Please follow #PublicHealth advice.  
2. Buy an oxygen saturation probe if you have #COVID We use the #oxygen level to decide on hospital admission.",2,9,26,,,,,,
 IngrameThomas,2020年12月30日,"So I’m still at work but I must say 
 NicolaSturgeon
 the #covid statistics for Scotland today are outrageous, there’s no question  your approach is  wrong and this on top of #NoDealNicola you must resign and let people more capable to take command .
#ResignSturgeon .",8,76,372,,,,,,
 TheLoveDre,2020年12月30日,"Any song about #Covid-19 to be first approved by MoH and UCC! 

Let me watch some football.",6,3,22,,,,,,
 spring2015abc,2020年12月30日,I figure a red alert with 3m of snow is the only way schools will close on the 6th.  I’d like to #reopenschools safely but numbers are getting out of hand.   I can name 15 with #Covid atm.,3,5,96,,,,,,
 NYCuratrix,2020年12月30日,"Talked to my 83-yr old dad today who said that he has many friends who don’t want to get #Covid #vaccine until they are shown that it works. So he and I chatted about the 70,000 people who did that for us during the clinical trials. ",7,12,134,,,,,,
 IreneWinters,2020年12月30日,Only 145000 people have checked into the #covid tracker today.  Make it part of your day. Stay focused on keeping you and your contacts safe. Only 10-12 more weeks to go til the end is in sight.,1,4,20,,,,,,
 EdBremson,2020年12月30日,253 #Covid dead today in Pennsylvania.... 253,1,2,1,,,,,,
 JonemarshUK,2020年12月30日,"When people say the risk of #covid to children is minimal, and schools should reopen, they are totally misrepresenting the real risk. The real risk is to the teachers, teaching assistants, the cleaners, the admin staff, the cooks AND all their families.
#CloseSchoolsNOW",2,2,7,,,,,,
 BarriGhai,2020年12月30日,"53,135 COVID cases were recorded in the UK on Tuesday. 414 more deaths were also registered. The UK is at crisis point now. Please stick to the tier rules and do your part. We need to support our frontline workers as much as possible and stay inside.  #NHS #Covid",5,8,78,,,,,,
 melissag427,2020年12月30日,Next winter we’re all going to stick our hands in our coat pockets and find masks we forgot about. #pandemiclife #Covid #newnormal #2021predictions,2,,6,,,,,,
 ElectCarolAbney,2020年12月30日,"To anyone saying Americans don’t need $2,000- your privilege is showing. You should tuck that back in and try to have a heart. 

Savage af. 

#Covid #Bye2020",13,48,141,,,,,,
 DrNeilPender,2020年12月30日,"What is it with the volume of #CovidDenial on here?

I work in #PalliativeCare, so I see a lot of dying.

This year, I have mostly seen people dying from and with #COVID. 

Those deteriorating already from other diseases, certainly had their life shortened when Covid was added.",8,17,107,,,,,,
 dementia_physio,2020年12月30日,"Today was the first time I made it to the 3rd floor of the hospital using the stairs after being off with #covid in early November. That is terrifying.

It is so real. Stay safe ",13,8,146,,,,,,
 NoGreatReset,2020年12月30日,"We must insist that every death within 28 days of a vaccine is reported as a vaccine death. There must be equality.
#Covid #COVIDー19 #covid19",4,9,25,,,,,,
 Kate_Bod,2020年12月30日,"Just read on a local #Walthamstow FB group that when a woman asked a group of people drinking outside why they were doing it, explaining that she’d lost a friend to #Covid this weekend, one of the group raised his pint and said, ‘Oh, thanks a lot. Cheers!’ ",8,2,4,,,,,,
 BenRogers223,2020年12月30日,"Record numbers of covid-19 cases in the UK today so here’s a reminder:

If you’re ignoring protocol to go on trips, see friends/family, refusing to wear masks etc you’re part of the problem!

Stay at home unless necessary, this isn’t a game! #Covid",3,1,7,,,,,,
 PowPowMMA,2020年12月30日,"Not one to speak out about the whole #covid thing. But wow, #Quebec is fucked.
The enforced measures here lack judgement. 

Who's deciding what's essential? Why can't my girlfriend buy make-up for work? 
Why is the 24 pack of Pepsi on special? 

Is this about health or obedience?",1,,1,,,,,,
 DWStweets,2020年12月30日,"Stop calling yourself pro-family if you won't support $2,000 direct payments for those struggling in this #COVID crisis.

And if you're serious 
 realDonaldTrump
, call on  senatemajldr to pass real #COVIDrelief.",21,26,115,,,,,,
 ChelsTransfer,2020年12月30日,Exclusive: Premier League clubs discuss 2-week break in season amid #COVID chaos fears (Telegraph),10,45,208,,,,,,
 jeremiahrmg,2020年12月30日,"Dear God,
The faith for 2021 is high..
Please do not allow second wave of #Covid #lockdown in Nigeria 

Like and Retweet my pinned tweet",2,6,17,,,,,,
 PaulJSams,2020年12月30日,A day of booking people in for their #Covid vaccinations. Feeling pretty proud to be helping and always proud to work for our #NHS,1,1,32,,,,,,
 Danwhite1972,2020年12月30日,"53,000 new #Covid cases today

The incredible NHS is 100,000 short of staff

The NHS say the number of people being treated for the virus in hospital is now 20,426, which is higher than the previous peak of about 19,000 in April.

Parliament is STILL in recess

..what a disgrace",2,16,46,,,,,,
 SussexGeoff,2020年12月30日,"WITHOUT commenting or giving opinion, just answer a simple yes or no. Should schools reopen in England next week? #COVID19 #schoolsreopening #retweet #Covid",,,,,,,,,
 JohannaSaunders,2020年12月30日,"It’s a given that while the country implodes and cases of #Covid rise dramatically by the hour, our illustrious & soon to be EX-PM, Boris Johnson, will be up to his elbows in foie gras, single malt, gout, pheasant, bus porn, truffles and skank.

#UnfitForOffice 
#BorisJohnson ",4,19,62,,,,,,
 PeteWRN,2020年12月30日,"Amazing team effort 
 tandgicft
 as we start our #COVID-19 vaccination programme . Thanks to 
 tracycamps
 
 k_mantron
  Pharmacy_TandG for your leadership of the programme and to ALL those involved across all the teams behind the scenes & the vaccinators who have made it possible ",5,9,64,,,,,,
 IrwinGill,2020年12月30日,"Friends in obstetrics, midwifery and sonography:

Is there some reason why expectant fathers cannot attend antenatal appointments virtually/by telephone when in person attendance isn't allowed?

Virtual appointments are commonplace now in all other avenues of healthcare.

#covid",4,1,35,,,,,,
 GrahamJClifford,2020年12月30日,"I fear people still don't get how big & how powerful the wave approaching us is. #Covid test referral numbers through the roof, positivity rate jumping daily, very limited hospital capacity. Schools can't reopen surely. No one wants another lockdown but that's where we're headed.",,2,22,,,,,,
 TeamPelosi,2020年12月30日,"Helping America’s working families to make it through hardship in this #covid crisis is a duty and a privilege for those of us whose job it is to serve the people’s interests. 

As the House did yesterday, the Senate can and must do their job — today!",187,1005,3388,,,,,,
 ArianaDMichaels,2020年12月30日,"Vice President Elect 
 KamalaHarris
 is receiving her #Covid vaccine as we type

Thank you for your leadership",2,4,58,,,,,,
 rebeccabellnews,2020年12月29日,Anyone else get #cough guilt?  I’ve had a stinking head cold for a couple of weeks (thanks to my toddler’s regular delivery of germs ) even though I’ve had a negative #covid test I feel I need to explain to people near me when I’m out in public I don’t have it! #lurgy,2,,6,,,,,,
 yvonneridley,2020年12月29日,So my 93-year-old mum is still waiting to be told when she will receive the #Covid-19 vaccine ... I thought she'd be treated as a priority - of course she is from the north of England & so we see Tory promises to Northerners fall away #vaccine,4,5,22,,,,,,
 johndehooge,2020年12月29日,"Lost my Dad to #Covid on December 2nd and an Aunt to #Covid on December 27th. Please, please #WearAMask #WashYourHands #MaintainPhysicalDistancing STAY #lockdown",20,12,76,,,,,,
 himantabiswa,2020年12月29日,"Sad to share the demise of two #COVID patients today~ Late Mafida Begum (63) of Sivasagar and Late Juna Khatun (75) of Dhubri. 

Condolences & Prayers. 

Om Shanti",15,28,508,,,,,,
 DoctorMayJay,2020年12月29日,"#COVID is highly infectious & serious

For the safety of my team & other patients

I am very strict about patients wearing masks before they are invited to the surgery

Severe learning disabilities, dementia & children <5 yrs are probably the only exemptions I would accept",4,9,72,,,,,,
 Clarsonimus,2020年12月29日,"Which #doomsday scenario would you vote for provided it could finally knock the !?&%# #coronavirus out of the #news cycle?
#Corona #Covid #Covid19 #Pandemic #Media #Hysteria #Panic",,,,,,,,,
 moronhumor,2020年12月29日,"So with the new #COVID strain spreading, I’m now doubtful about PM Boris Johnson as Republic Day Chief Guest in Jan-2021 and then England Tour of India in Feb-2021 ..",7,8,128,,,,,,
 SBAgov,2020年12月29日,"𝗤𝘂𝗲𝘀𝘁𝗶𝗼𝗻: What can I use #COVID Economic Injury Disaster Loan funds for?

𝗔𝗻𝘀𝘄𝗲𝗿: Funds can be used to cover working capital needs and normal operating expenses like continuation of health care benefits, rent, utilities, and fixed debt payments.

Learn more & apply:",,,,,,,,,
 philmackie,2020年12月29日,The number of #Covid patients on mechanically ventilated beds in the #Midlands hospitals - 278 - is the same as it was two weeks ago (although it did go down a little bit in between.  It's lower than it was a month ago  when there were 304,2,3,8,,,,,,
 HawleyMO,2020年12月29日,"Working Americans have borne the brunt of this pandemic. They’ve been hammered, through no fault of their own. They deserve $2000 in #covid relief - a fraction of what the banks & big business got. Let’s vote now",1138,1705,8899,,,,,,
 RuthCoppingerSP,2020年12月29日,"Taking a break from social media over xmas and woke up to hear 
 NormaFoleyTD1
 won an award. Do ministers get the credit now for the work of frontline education workers who've kept schools open? We should all stand out at 6pm and applaud govt ministers.  #lockdown #covid",18,27,312,,,,,,
 WanderingGaia,2020年12月29日,"Post office can’t send a parcel to mainland Europe. Amazing! In all my travels to remote parts of the world, I’ve always been able to send a parcel to anywhere on earth. Extraordinary times! #covid",9,7,31,,,,,,
 NortherlyRose,2020年12月29日,"I should have gone back to work today, but I didn’t.
I’ve had two jobs during the #Covid pandemic. The first was a shop job. Definitely high risk. Customers getting so close I could feel their spittle on my face when they raised objections to social distancing measures.
1/",3,3,26,,,,,,
 BillNeelyReport,2020年12月29日,"China jails journalist for 4 years for “picking quarrels & provoking trouble” in reporting #COVID19 from Wuhan. Saudi Arabia jails women’s rights activist for 5 years in a terrorism court. True #Covid deaths in Russia not official 55K, but 186K, says Dep. PM. All 3- shocking.",1,19,44,,,,,,
 TheHopeSprings,2020年12月29日,"For the sake of my well-being I’m unfollowing covid deniers & #kbf-ers. If I’ve missed you, feel free to identify yourself . I have no issue with different (nuanced) views on #covid, it’s healthy to be sceptical, but I won’t tolerate the above .",4,3,17,,,,,,
 Chandabaputaki,2020年12月29日,I deliberately didnt visit any family when i got home cos i dont want to be blamed for anybody's parent being sick from covid as we are from a red zone. People need to understand what minimising risk of spreading or contacting #covid means for you and I. Do the needful ,2,2,13,,,,,,
 ArmisteadCheryl,2020年12月29日,"Finally reading 
 StephanieKelton
 The Deficit Myth. Speaking to Fed's core 'faith' principle: ""majority of economists remain wedded to fifty-year-old doctrine that relies on human suffering to fight inflation"" p.97. Let that sink in today, in midst of #COVID & , even  politics",3,15,51,,,,,,
 LilianPertenava,2020年12月29日,"Who would be interested in taking part in research about the #Covid Era? 
Topic: personal mechanics for coping with stress/frustration/fatigue during 2020. 
Answers will take 10 min and will be anonymous. Please put a + in the comments if interested. Thanks!",1,1,2,,,,,,
 BrentSuppzCEO,2020年12月29日,How TF does California have a #covid surge when nothing is open???  Some things really don’t make sense,5,6,55,,,,,,
 iandonald_psych,2020年12月29日,"“Those people that are calling for a delay to young people coming back [to school] are doing it on the principle that we should get this testing right and we should listen to what the scientists are saying.” Geoff Barton, Association of School and College Leaders #schools #COVID",1,8,39,,,,,,
 BradLindenSoCal,2020年12月29日,"I'm having a bit of a #covid relapse. A #CovidHangover is common.
After I was in the hospital I felt well & energized.
Then this hit me. I'm tired & sleeping a lot. I have a headache, am nauseous & achy & have no appetite.
It's been 5 weeks since I first came down with #COVID19.",11,2,24,,,,,,
 AmyWadas,2020年12月29日,"Just curious here— would the increase from $600 to $2000 really help you if the Senate votes to pass the #Covid relief bill just passed in the House? Is anyone unemployed due to the pandemic that would really benefit from this? Please comment here or DM me! Thanks! 
 KDKA",57,5,25,,,,,,
 umamahesh_ToI,2020年12月29日,"AP health department confirmed that a Rajahmundry woman, who recently returned from UK, tested positive for the new mutant strain of the novel coronavirus #UKstrain #Covid #Coronavirus #Newstrain #Newmutation",3,4,14,,,,,,
 CharlottaCampan,2020年12月29日,"If you are unfortunate enough to get #Covid and fortunate enough to survive, please remember that it’s not “just for Christmas”, as #LongCovid reduces your immunity. Please #StayHomeSaveLives",1,1,6,,,,,,
 DoctorMayJay,2020年12月29日,"Hi 
 Ryanair
 

We are in the middle of a pandemic

How misleading & irresponsible are your current TV ads!

“Jab & go”

Are you giving out #COVID vaccines?

Do they work straight away?",2,14,86,,,,,,
 manik_psk,2020年12月29日,"Just home from a nightshift...6 months after I thought I’d done my last ever one...which was a year after I thought I’d done my last ever one. 

#stayhome #covid",1,1,46,,,,,,
 TheOnlyGuru,2020年12月29日,"I’ve had un revelation. 

Senior 
 GovJersey
 civil servants seen loitering up at Fort Regent awaiting the spare #covid vaccinations. 

If we have spares, why not have a list of extremely vulnerable residents who can be on notice and called in instantly to save waste? 

#jerseyci",5,2,35,,,,,,
 Jason_Milo_Raso,2020年12月29日,"They have now closed the gates at the #Covid testing in #wollongong.  The line extends around the block of the Hospital, and they turn people away? Seriously??",1,3,7,,,,,,
 Lisa_SEND,2020年12月29日,"#Covid spreading fast - #NHS are overwhelmed & ambulances unable to attend to everyone, minimal beds in hospitals, no ventilators. BUT my children are meant to go back to #School next week? Don’t close the schools but allow children to stay home to reduce capacity 
 Number10press",3,6,17,,,,,,
 szarabi,2020年12月29日,"As #2020 draws to a close, take note that nearly 950,000 new DEMAT accounts were opened in India during the year.

#DEMAT account base increased by 20% in less than 12 months and continues to grow.

Total DEMAT accounts in India since inception in 1996 is 48.5 m

#Covid
#Markets",9,21,71,,,,,,
 EswatinObserver,2020年12月29日,BE WARNED! Only essential workers will be pardoned by the police if they are found out and about in the streets past 11pm. #covid #eswatini,1,6,11,,,,,,
 D4vidElliott,2020年12月29日,Why is Covid spiking so much? We’ve been on lockdown. We’re wearing masks? Why the surge? #covid #lockdown #coronavirus #nhs,2,1,4,,,,,,
 WVBigDave1,2020年12月29日,#Covid is raging in our little community.. A lot of people are fighting it and now sone of my family and Church family have it. Please pray for us!!,3,2,10,,,,,,
 thedevilpatel,2020年12月29日,"#UK and parts of world kept shouting that new mutant #covid virus has been identified across some nations.

Meanwhile Indian authorities were eating samosas & did not give a f&&k abt laying new rules for returnees from UK. Now we have 6 confirmed UK returnee infections in #India.",1,2,1,,,,,,
 AlanaKStewart,2020年12月29日,"Can 
 GavinNewsom
 explain why sitting in a restaurant, outside, w/ plexiglas partitions is more dangerous than going to Target or Walmart?  And why is the entertainment industry allowed to work but hairdressers aren't? Probably has to do with $$$. #lockdown #California #Covid",407,1500,8427,,,,,,
 sophiahanda,2020年12月29日,"if u ever come across any 
 RahulGandhi
 & 
 priyankagandhi
 pics with their entire team of ministers & bodyguards,u c them wearing their mask  properly, But y don’t BJPians wear their mask & pants properly #Covid #pantsdown #FarmerBill2020",6,39,74,,,,,,
 realVickyPryce,2020年12月29日,"On  talkradio  early this wintry morning covering the business news with 
 mrmarkdolan
 , the short and longer term expectations for growth in the UK vs other large countries in  Europe post #Covid and #BrexitDeal and the many uncertainties that still remain 
 Cebr_uk",2,1,7,,,,,,
 ErinClouse,2020年12月29日,"Update 12/28:  With the exception of the positive rate, all other charts are showing hopeful trends.  #Covid cases, hospitalizations and deaths are all decreasing.  
 DrAngelaCDunn
 
 SpencerJCox
 
 GovHerbert
 #maskupUtah #physicaldistance #ventilation",3,2,24,,,,,,
 LeslieMarshall,2020年12月29日,For those not believing this #Covid #surge is worse; one of the hospitals my husband works at had 30 #covid #patients in house at it's height; currently there are 240 #Covid #patients inhouse.... this surge is worse and many fear we haven't hit the highest #'s yet. #WearAMask,11,24,65,,,,,,
 sumanthraman,2020年12月29日,More samples still being analyzed. So number of UK strain positive cases in India cd rise from 6.Also some mutations discovered are apparently slightly different from UK strain. So more study needs to be done on impact.This is what I wss alluding to yesterday. #covid #ukstrain,12,23,227,,,,,,
 prachee_ps,2020年12月29日,"A total of 6 UK returnees have been found to be positive with the new U.K variant genome- three in NIMHANS, Bengaluru, 2 in CCMB, Hyderabad and 1 in NIV, Pune: Health Ministry #covid #UK #CoronavirusStrain",1,4,13,,,,,,
 Beingsajiddarr,2020年12月29日,"#BREAKING

#COVID-19: Six UK returnees found positive for new UK variant genome in India, says Ministry of Health and Family Welfare",2,2,19,,,,,,
